ID,Day,Incidence,Brand,Quantity,Last_Inc_Brand,Last_Inc_Quantity,Price_1,Price_2,Price_3,Price_4,Price_5,Promotion_1,Promotion_2,Promotion_3,Promotion_4,Promotion_5,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Segment,Segment_0,Segment_1,Segment_2,Segment_3
200000001,28,1,2,2,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,58,1,5,1,0,0,1.39,1.9,1.91,2.12,2.62,1,0,0,0,1,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,110,1,1,2,0,0,1.47,1.9,1.99,1.97,2.67,0,0,0,1,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,142,1,4,1,0,0,1.21,1.35,1.99,2.16,2.68,1,1,0,0,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,183,1,2,3,0,0,1.46,1.88,1.97,1.89,2.37,1,0,0,1,1,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,327,1,4,3,0,0,1.47,1.89,2.01,1.9,2.71,0,0,0,1,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,547,1,2,2,0,0,1.35,1.89,2.07,2.26,2.63,1,0,0,0,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,562,1,2,3,2,1,1.33,1.51,2.07,2.26,2.62,1,1,0,0,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000001,702,1,5,1,0,0,1.41,1.85,2.0,2.24,2.79,0,0,1,0,0,0,0,47,1,110866,1,0,0,True,False,False,False
200000002,6,1,4,1,0,0,1.59,1.87,2.01,2.09,2.66,0,0,0,0,0,1,1,52,2,159052,2,1,3,False,False,False,True
200000002,100,1,4,2,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,1,0,1,1,52,2,159052,2,1,3,False,False,False,True
200000002,283,1,4,3,0,0,1.37,1.89,2.0,2.14,2.64,0,0,0,0,0,1,1,52,2,159052,2,1,3,False,False,False,True
200000002,307,1,4,1,0,0,1.34,1.89,2.01,2.03,2.68,1,0,0,1,0,1,1,52,2,159052,2,1,3,False,False,False,True
200000002,422,1,4,1,0,0,1.34,1.89,2.02,2.21,2.65,0,0,0,1,0,1,1,52,2,159052,2,1,3,False,False,False,True
